code,region,count
26,Busan,65
27,Daegu,65
28,Incheon,169
31,Ulsan,109
36,Sejong,99
41,Gyeonggi,1793
42,Gangwon,1324
43,Chungcheongbuk,1320
44,Chungcheongnam,2052
45,Jeollabuk,1994
46,Jeollanam,3108
47,Gyeongsangbuk,3135
48,Gyeongsangnam,1846
50,Jeju,152
